,mean_fit_time,mean_test_score,mean_train_score,batch_size,hidden_layer_sizes,learning_rate_init,momentum,random_state,best_match_batch_size,best_match_hidden_layer_sizes,best_match_learning_rate_init,best_match_momentum,best_match_random_state
41,0.7569293975830078,-0.0767680422514038,-0.06484807677975983,8,"(32,)",0.017782794,0.00097162795,1,True,True,True,False,True
42,0.7509749412536622,-0.0767680422514038,-0.06484807677975983,8,"(32,)",0.017782794,0.009440608,1,True,True,True,False,True
43,0.7610830307006836,-0.0767680422514038,-0.06484807677975983,8,"(32,)",0.017782794,0.09172759,1,True,True,True,False,True
44,0.7440177440643311,-0.0767680422514038,-0.06484807677975983,8,"(32,)",0.017782794,0.8912509,1,True,True,True,False,True
45,0.7128561496734619,-0.10697851809641121,-0.09807161204818504,8,"(32,)",0.1,1e-04,1,True,True,False,True,True
46,0.7200832366943359,-0.10697851809641121,-0.09807161204818504,8,"(32,)",0.1,0.00097162795,1,True,True,False,False,True
47,0.703799819946289,-0.10697851809641121,-0.09807161204818504,8,"(32,)",0.1,0.009440608,1,True,True,False,False,True
48,0.7091289520263672,-0.10697851809641121,-0.09807161204818504,8,"(32,)",0.1,0.09172759,1,True,True,False,False,True
49,0.7123131275177002,-0.10697851809641121,-0.09807161204818504,8,"(32,)",0.1,0.8912509,1,True,True,False,False,True
50,0.7503329277038574,-0.10599359942678092,-0.10579120579866505,8,"(64,)",1e-04,1e-04,1,True,False,False,True,True
51,0.7520012378692627,-0.10599359942678092,-0.10579120579866505,8,"(64,)",1e-04,0.00097162795,1,True,False,False,False,True
52,0.7495430469512939,-0.10599359942678092,-0.10579120579866505,8,"(64,)",1e-04,0.009440608,1,True,False,False,False,True
53,0.7528964042663574,-0.10599359942678092,-0.10579120579866505,8,"(64,)",1e-04,0.09172759,1,True,False,False,False,True
54,0.7375393867492676,-0.10599359942678092,-0.10579120579866505,8,"(64,)",1e-04,0.8912509,1,True,False,False,False,True
55,0.6682133674621582,-0.08675037166970327,-0.08361148052294934,8,"(64,)",0.0005623413,1e-04,1,True,False,False,True,True
56,0.6704423427581787,-0.08675037166970327,-0.08361148052294934,8,"(64,)",0.0005623413,0.00097162795,1,True,False,False,False,True
57,0.6682965755462646,-0.08675037166970327,-0.08361148052294934,8,"(64,)",0.0005623413,0.009440608,1,True,False,False,False,True
58,0.6589245796203613,-0.08675037166970327,-0.08361148052294934,8,"(64,)",0.0005623413,0.09172759,1,True,False,False,False,True
59,0.6693994522094726,-0.08675037166970327,-0.08361148052294934,8,"(64,)",0.0005623413,0.8912509,1,True,False,False,False,True
60,0.814923620223999,-0.08026734005495065,-0.06663379559592189,8,"(64,)",0.0031622776,1e-04,1,True,False,False,True,True
61,0.8284867286682129,-0.08026734005495065,-0.06663379559592189,8,"(64,)",0.0031622776,0.00097162795,1,True,False,False,False,True
62,0.8062913417816162,-0.08026734005495065,-0.06663379559592189,8,"(64,)",0.0031622776,0.009440608,1,True,False,False,False,True
63,0.8223752498626709,-0.08026734005495065,-0.06663379559592189,8,"(64,)",0.0031622776,0.09172759,1,True,False,False,False,True
64,0.8273026466369628,-0.08026734005495065,-0.06663379559592189,8,"(64,)",0.0031622776,0.8912509,1,True,False,False,False,True
65,0.7606454372406006,-0.07908280061077634,-0.06599047015851936,8,"(64,)",0.017782794,1e-04,1,True,False,True,True,True
66,0.7520332336425781,-0.07908280061077634,-0.06599047015851936,8,"(64,)",0.017782794,0.00097162795,1,True,False,True,False,True
67,0.7615888118743896,-0.07908280061077634,-0.06599047015851936,8,"(64,)",0.017782794,0.009440608,1,True,False,True,False,True
68,0.7672134876251221,-0.07908280061077634,-0.06599047015851936,8,"(64,)",0.017782794,0.09172759,1,True,False,True,False,True
69,0.7708418846130372,-0.07908280061077634,-0.06599047015851936,8,"(64,)",0.017782794,0.8912509,1,True,False,True,False,True
70,0.7792422294616699,-0.11993965069195416,-0.09948810373041131,8,"(64,)",0.1,1e-04,1,True,False,False,True,True
71,0.7903773784637451,-0.11993965069195416,-0.09948810373041131,8,"(64,)",0.1,0.00097162795,1,True,False,False,False,True
72,0.7944191455841064,-0.11993965069195416,-0.09948810373041131,8,"(64,)",0.1,0.009440608,1,True,False,False,False,True
73,0.8065713882446289,-0.11993965069195416,-0.09948810373041131,8,"(64,)",0.1,0.09172759,1,True,False,False,False,True
74,0.7875373840332032,-0.11993965069195416,-0.09948810373041131,8,"(64,)",0.1,0.8912509,1,True,False,False,False,True
