,0,1,2,3,4,5,6,7
19,-9.377517,4.213738,2.233855,2.407738,-1.7822529,0.28679526,-0.69900876,-0.042214513
20,-8.892962,4.871165,2.1133451,1.4108005,-0.98969746,1.46159,-1.9255114,-1.2117599
21,-11.0296545,2.5692766,-0.6461717,-0.10248104,-0.8457132,-0.18132794,-1.2202178,-0.41924557
22,-8.740777,4.53458,3.6174586,2.23428,-1.2138886,0.091468215,-0.6161684,-0.88145685
23,-9.5887785,4.5724664,3.51194,2.1750665,-2.7274237,0.16588807,-1.0729187,-1.7125845
24,-9.5887785,4.5724664,3.51194,2.1750665,-2.7274237,0.16588807,-1.0729187,-1.7125845
25,-7.2161183,3.4472442,5.9310417,0.8081932,-2.476906,1.1683908,0.017124616,-0.15562831
26,-7.552491,3.0714734,3.452785,0.8489275,-2.5555835,-0.24234736,0.7126359,-0.77576435
27,-6.42954,3.98836,6.3668766,1.609472,-3.5002599,-0.050697565,-0.5127407,-1.7741954
28,-7.8648643,2.5676184,3.3499978,0.39081565,-1.9736874,0.98761547,-1.0836565,-1.4447588
29,-6.6799297,2.5125535,4.5650206,1.9074798,-2.5032425,0.11793816,-0.38141045,0.29295868
30,-6.6799297,2.5125535,4.5650206,1.9074798,-2.5032425,0.11793816,-0.38141045,0.29295868
31,-8.476148,3.9993272,0.63114023,1.0378624,-0.6900862,0.41800392,-2.009207,-0.8826884
32,-10.397066,3.6173553,1.4542501,0.19205731,-0.715863,1.285656,-1.9059759,-0.9375217
33,-11.328661,0.76785445,-2.5361633,0.63195115,-0.8422079,1.8952861,0.031586587,1.199531
34,-8.810124,2.989548,4.93163,0.661162,-1.3599664,1.7280947,-0.2816899,-1.1055595
35,-9.02721,2.2210407,2.552903,2.5145712,-2.364892,-0.84854174,0.5679586,0.11716622
36,-8.291739,3.072928,0.09355107,1.8828328,-0.89550596,-0.7434201,-0.75759846,-0.55703425
37,-6.637367,5.099391,5.001688,2.4648337,-3.1064248,2.0050504,1.1969715,-0.4612707
38,-7.0512366,4.475359,5.6878576,4.264038,-3.051201,-0.1359011,4.118442,-1.0978864
39,-7.0918097,4.1466494,5.607224,2.8474188,-3.1776712,0.10856807,2.222844,-1.0351386
40,-7.272588,2.537427,4.273599,1.0976923,-2.729008,-0.5849142,1.1214857,-0.75984013
41,-7.973358,3.0094907,3.936751,0.9939403,-1.9906071,1.0333143,-0.6457095,-1.1491582
42,-7.973358,3.0094907,3.936751,0.9939403,-1.9906071,1.0333143,-0.6457095,-1.1491582
43,-7.165682,4.3288,4.8511662,1.074064,-3.0512028,2.0218427,-0.8556088,-0.9369741
44,-10.659402,1.3446038,-4.3312664,0.8488903,-1.2099234,2.587327,0.25240874,1.7237052
45,-11.174307,-0.9572725,-4.5302052,0.68891287,-1.6758794,3.160233,1.8192433,1.7209438
46,-7.0396185,4.0822144,7.23708,2.1370127,-3.62418,1.37668,0.8002564,-0.5189463
47,-9.347294,4.2382417,3.8808599,2.50139,-1.6003104,0.16173613,1.1029544,-0.55716646
48,-12.2260895,4.0334463,-0.93262434,-0.5541063,-1.1630955,1.4671414,-0.6838006,0.52911866
49,-10.446961,5.0418944,4.389625,2.4043186,-1.8839232,0.8305056,1.0688267,-0.5966285
50,-12.264156,3.9131434,-0.84542024,-0.9971724,-1.2193899,1.5516732,-0.6550826,0.5209322
51,-11.6923065,2.5640955,-1.1681893,-0.37970534,-0.50153416,0.33723485,-0.7538509,0.23455194
52,-6.4652443,5.1231365,6.569133,2.1604347,-3.730311,1.9205825,-0.7442852,0.50758666
53,-4.3529816,-0.70632887,-0.7362543,2.651581,0.9295516,1.1219907,-1.0099323,-0.459363
54,-10.8502445,-1.7838168,-4.5238624,0.2281784,-0.8437129,2.4371843,1.2393049,0.108690836
55,-6.6044364,4.206438,4.0013247,2.24057,-2.712674,0.73098177,0.51874375,-1.1496806
56,-6.838198,2.912113,4.3689823,1.9338455,-2.44334,0.31278443,-0.19743407,-0.24834849
57,-6.9072633,4.288229,5.470955,1.5832353,-2.7503138,0.5594356,0.4928573,-0.7101873
58,-6.3929687,4.3757286,5.7854,1.5355339,-3.3545048,0.49012727,-0.62737745,-0.9165009
59,-9.640586,4.8061576,0.2111268,0.88690895,-0.40921113,0.99716204,-1.6273766,-0.18909815
60,-8.775554,3.4999297,1.2518721,3.0979002,-1.645633,-0.8903022,1.1497989,-0.18500653
61,-6.597468,3.7472591,5.8609786,0.7155238,-3.458492,1.3707848,-1.4003468,-0.8228355
62,-6.7409387,3.8616374,6.3642864,1.736836,-3.4103954,0.8157514,0.2793804,-0.6017905
